utterance,expected_tool,expected_keys,description
"Show Consensus demo videos for Service Cloud created in Q3",content_search,"topic,source,dateRange","Consensus Service Cloud Q3 Demos"
"List ACT courses tagged with 'Sales Cloud' and 'Beginner'",content_search,"topic,source,tags","ACT Sales Cloud Beginner Courses"
"Find ACT assets for Marketing Cloud with completion rate > 70%",content_search,"topic,source,completionRate","ACT Marketing Cloud Good Completion"
"Show Consensus demos for Data Cloud with public access and preview",content_search,"topic,source,demoType,access,preview","Consensus Data Cloud Public Preview Demos"
"List ACT courses for Service Cloud with enrollment > 1000 students",content_search,"topic,source,enrollment","ACT Service Cloud High Enrollment"
"Find ACT curricula for Marketing Cloud created between July and September",content_search,"topic,source,dateRange","ACT Marketing Cloud Q3 Courses"
"Show Consensus demo videos for Sales Cloud with tracking enabled",content_search,"topic,source,demoType,tracking","Consensus Sales Cloud Tracked Demos"
"List ACT courses for Data Cloud with completion rate between 60% and 80%",content_search,"topic,source,completionRate","ACT Data Cloud Good Completion Range"
"Find ACT assets tagged with 'Service Cloud' and 'Intermediate'",content_search,"topic,source,tags","ACT Service Cloud Intermediate Assets"
"Show Consensus demos for Marketing Cloud with public preview links",content_search,"topic,source,demoType,previewLink","Consensus Marketing Cloud Preview Link Demos"
"List ACT courses for Sales Cloud with enrollment between 300 and 700",content_search,"topic,source,enrollment","ACT Sales Cloud Medium Enrollment Range"
"Find ACT curricula for Data Cloud created in the last 4 months",content_search,"topic,source,dateRange","ACT Data Cloud Recent 4 Months"
"Show Consensus demo videos for Service Cloud with completion tracking",content_search,"topic,source,demoType,tracking","Consensus Service Cloud Completion Tracked Demos"
"List ACT courses for Marketing Cloud with completion rate > 95%",content_search,"topic,source,completionRate","ACT Marketing Cloud Excellent Completion"
"Find ACT assets for Sales Cloud with enrollment > 2000 students",content_search,"topic,source,enrollment","ACT Sales Cloud Very High Enrollment"
"Show Consensus demos for Data Cloud with public access and tracking",content_search,"topic,source,demoType,access,tracking","Consensus Data Cloud Public Tracked Demos"
"List ACT courses for Service Cloud with completion rate between 75% and 95%",content_search,"topic,source,completionRate","ACT Service Cloud High Completion Range"
"Find ACT curricula tagged with 'Marketing Cloud' and 'Expert'",content_search,"topic,source,tags","ACT Marketing Cloud Expert Courses"
"Show Consensus demo videos for Sales Cloud created in the last quarter",content_search,"topic,source,dateRange","Consensus Sales Cloud Last Quarter Demos"
"List ACT courses for Data Cloud with enrollment > 1200 students",content_search,"topic,source,enrollment","ACT Data Cloud High Enrollment"
"Find ACT assets for Service Cloud created between October and December",content_search,"topic,source,dateRange","ACT Service Cloud Q4 Assets"
"Show Consensus demos for Marketing Cloud with public preview and tracking",content_search,"topic,source,demoType,preview,tracking","Consensus Marketing Cloud Preview Tracked Demos"
"List ACT courses for Sales Cloud with completion rate > 65% and enrollment > 400",content_search,"topic,source,completionRate,enrollment","ACT Sales Cloud Good Performance"
"Find ACT curricula for Data Cloud with completion rate between 80% and 100%",content_search,"topic,source,completionRate","ACT Data Cloud Excellent Completion Range"
"Show Consensus demo videos for Service Cloud with public access and preview links",content_search,"topic,source,demoType,access,previewLink","Consensus Service Cloud Public Preview Demos"
"List ACT courses for Marketing Cloud with enrollment between 500 and 1000",content_search,"topic,source,enrollment","ACT Marketing Cloud Medium-High Enrollment"
"Find ACT assets tagged with 'Data Cloud' and 'Advanced' created this year",content_search,"topic,source,tags,dateRange","ACT Data Cloud Advanced 2024 Assets"
"Show Consensus demos for Data Cloud with completion tracking and public preview",content_search,"topic,source,demoType,tracking,preview","Consensus Data Cloud Tracked Preview Demos"
