Case ID,Description,Utterance,MCP Success,MCP Tool,MCP Args,MCP Time (ms),Apex Success,Apex Time (ms),Overall Success,Error Message
16,ACT Data Cloud Q2 Courses,List ACT courses for Data Cloud created between April and June,False,Could not determine the appropriate tool for this request. Please be more specific about what you want to do.,{},1.7,True,0.0,False,MCP Error: Could not determine the appropriate tool for this request. Please be more specific about what you want to do.
17,ACT Courses Medium-High Completion,Find ACT curricula with completion rate between 70% and 90%,False,Could not determine the appropriate tool for this request. Please be more specific about what you want to do.,{},1.5,True,0.0,False,MCP Error: Could not determine the appropriate tool for this request. Please be more specific about what you want to do.
18,Consensus Marketing Cloud Preview Demos,Show Consensus demo videos for Marketing Cloud with preview links,False,Could not determine the appropriate tool for this request. Please be more specific about what you want to do.,{},3.7,True,0.0,False,MCP Error: Could not determine the appropriate tool for this request. Please be more specific about what you want to do.
19,ACT Sales Cloud Medium Enrollment,List ACT courses for Sales Cloud with enrollment > 500 students,False,Could not determine the appropriate tool for this request. Please be more specific about what you want to do.,{},2.0,True,0.0,False,MCP Error: Could not determine the appropriate tool for this request. Please be more specific about what you want to do.
20,ACT Data Cloud Recent Assets,Find ACT assets created in the last quarter with 'Data Cloud' tag,False,Could not determine the appropriate tool for this request. Please be more specific about what you want to do.,{},2.0,True,0.0,False,MCP Error: Could not determine the appropriate tool for this request. Please be more specific about what you want to do.
21,Consensus Data Cloud 2024 Demos,Show Consensus demos for Data Cloud created this year,False,Could not determine the appropriate tool for this request. Please be more specific about what you want to do.,{},1.8,True,0.0,False,MCP Error: Could not determine the appropriate tool for this request. Please be more specific about what you want to do.
22,ACT Service Cloud Very High Completion,List ACT courses for Service Cloud with completion rate > 85%,False,Could not determine the appropriate tool for this request. Please be more specific about what you want to do.,{},1.9,True,0.0,False,MCP Error: Could not determine the appropriate tool for this request. Please be more specific about what you want to do.
23,ACT Marketing Cloud Advanced Courses,Find ACT curricula tagged with 'Marketing Cloud' and 'Advanced',False,Could not determine the appropriate tool for this request. Please be more specific about what you want to do.,{},1.9,True,0.0,False,MCP Error: Could not determine the appropriate tool for this request. Please be more specific about what you want to do.
24,Consensus Sales Cloud Preview Demos,Show Consensus demo videos for Sales Cloud with public preview,False,Could not determine the appropriate tool for this request. Please be more specific about what you want to do.,{},3.2,True,0.0,False,MCP Error: Could not determine the appropriate tool for this request. Please be more specific about what you want to do.
25,ACT Data Cloud Medium Enrollment,List ACT courses for Data Cloud with enrollment between 200 and 800,False,Could not determine the appropriate tool for this request. Please be more specific about what you want to do.,{},3.6,True,0.0,False,MCP Error: Could not determine the appropriate tool for this request. Please be more specific about what you want to do.
26,ACT Service Cloud Recent Assets,Find ACT assets for Service Cloud created in the last 3 months,False,Could not determine the appropriate tool for this request. Please be more specific about what you want to do.,{},2.2,True,0.0,False,MCP Error: Could not determine the appropriate tool for this request. Please be more specific about what you want to do.
27,Consensus Marketing Cloud Tracked Demos,Show Consensus demos for Marketing Cloud with completion tracking,False,Could not determine the appropriate tool for this request. Please be more specific about what you want to do.,{},1.9,True,0.0,False,MCP Error: Could not determine the appropriate tool for this request. Please be more specific about what you want to do.
28,ACT Sales Cloud Excellent Completion,List ACT courses for Sales Cloud with completion rate > 90%,False,Could not determine the appropriate tool for this request. Please be more specific about what you want to do.,{},2.2,True,0.0,False,MCP Error: Could not determine the appropriate tool for this request. Please be more specific about what you want to do.
29,ACT Data Cloud Very High Enrollment,Find ACT curricula for Data Cloud with enrollment > 1500 students,False,Could not determine the appropriate tool for this request. Please be more specific about what you want to do.,{},4.1,True,0.0,False,MCP Error: Could not determine the appropriate tool for this request. Please be more specific about what you want to do.
30,Consensus Service Cloud Q3 Demos,Show Consensus demo videos for Service Cloud created in Q3,False,Could not determine the appropriate tool for this request. Please be more specific about what you want to do.,{},2.2,True,0.0,False,MCP Error: Could not determine the appropriate tool for this request. Please be more specific about what you want to do.
31,ACT Sales Cloud Beginner Courses,List ACT courses tagged with 'Sales Cloud' and 'Beginner',False,Could not determine the appropriate tool for this request. Please be more specific about what you want to do.,{},5.4,True,0.0,False,MCP Error: Could not determine the appropriate tool for this request. Please be more specific about what you want to do.
32,ACT Marketing Cloud Good Completion,Find ACT assets for Marketing Cloud with completion rate > 70%,False,Could not determine the appropriate tool for this request. Please be more specific about what you want to do.,{},2.2,True,0.0,False,MCP Error: Could not determine the appropriate tool for this request. Please be more specific about what you want to do.
33,Consensus Data Cloud Public Preview Demos,Show Consensus demos for Data Cloud with public access and preview,False,Could not determine the appropriate tool for this request. Please be more specific about what you want to do.,{},1.9,True,0.0,False,MCP Error: Could not determine the appropriate tool for this request. Please be more specific about what you want to do.
34,ACT Service Cloud High Enrollment,List ACT courses for Service Cloud with enrollment > 1000 students,False,Could not determine the appropriate tool for this request. Please be more specific about what you want to do.,{},2.0,True,0.0,False,MCP Error: Could not determine the appropriate tool for this request. Please be more specific about what you want to do.
35,ACT Marketing Cloud Q3 Courses,Find ACT curricula for Marketing Cloud created between July and September,False,Could not determine the appropriate tool for this request. Please be more specific about what you want to do.,{},6.0,True,0.0,False,MCP Error: Could not determine the appropriate tool for this request. Please be more specific about what you want to do.
36,Consensus Sales Cloud Tracked Demos,Show Consensus demo videos for Sales Cloud with tracking enabled,False,Could not determine the appropriate tool for this request. Please be more specific about what you want to do.,{},2.3,True,0.0,False,MCP Error: Could not determine the appropriate tool for this request. Please be more specific about what you want to do.
37,ACT Data Cloud Good Completion Range,List ACT courses for Data Cloud with completion rate between 60% and 80%,False,Could not determine the appropriate tool for this request. Please be more specific about what you want to do.,{},2.3,True,0.0,False,MCP Error: Could not determine the appropriate tool for this request. Please be more specific about what you want to do.
38,ACT Service Cloud Intermediate Assets,Find ACT assets tagged with 'Service Cloud' and 'Intermediate',False,Could not determine the appropriate tool for this request. Please be more specific about what you want to do.,{},2.0,True,0.0,False,MCP Error: Could not determine the appropriate tool for this request. Please be more specific about what you want to do.
39,Consensus Marketing Cloud Preview Link Demos,Show Consensus demos for Marketing Cloud with public preview links,False,Could not determine the appropriate tool for this request. Please be more specific about what you want to do.,{},2.6,True,0.0,False,MCP Error: Could not determine the appropriate tool for this request. Please be more specific about what you want to do.
40,ACT Sales Cloud Medium Enrollment Range,List ACT courses for Sales Cloud with enrollment between 300 and 700,False,Could not determine the appropriate tool for this request. Please be more specific about what you want to do.,{},2.4,True,0.0,False,MCP Error: Could not determine the appropriate tool for this request. Please be more specific about what you want to do.
41,ACT Data Cloud Recent 4 Months,Find ACT curricula for Data Cloud created in the last 4 months,False,Could not determine the appropriate tool for this request. Please be more specific about what you want to do.,{},2.7,True,0.0,False,MCP Error: Could not determine the appropriate tool for this request. Please be more specific about what you want to do.
42,Consensus Service Cloud Completion Tracked Demos,Show Consensus demo videos for Service Cloud with completion tracking,False,Could not determine the appropriate tool for this request. Please be more specific about what you want to do.,{},2.0,True,0.0,False,MCP Error: Could not determine the appropriate tool for this request. Please be more specific about what you want to do.
43,ACT Marketing Cloud Excellent Completion,List ACT courses for Marketing Cloud with completion rate > 95%,False,Could not determine the appropriate tool for this request. Please be more specific about what you want to do.,{},4.2,True,0.0,False,MCP Error: Could not determine the appropriate tool for this request. Please be more specific about what you want to do.
44,ACT Sales Cloud Very High Enrollment,Find ACT assets for Sales Cloud with enrollment > 2000 students,False,Could not determine the appropriate tool for this request. Please be more specific about what you want to do.,{},2.8,True,0.0,False,MCP Error: Could not determine the appropriate tool for this request. Please be more specific about what you want to do.
45,Consensus Data Cloud Public Tracked Demos,Show Consensus demos for Data Cloud with public access and tracking,False,Could not determine the appropriate tool for this request. Please be more specific about what you want to do.,{},2.5,True,0.0,False,MCP Error: Could not determine the appropriate tool for this request. Please be more specific about what you want to do.
46,ACT Service Cloud High Completion Range,List ACT courses for Service Cloud with completion rate between 75% and 95%,False,Could not determine the appropriate tool for this request. Please be more specific about what you want to do.,{},2.3,True,0.0,False,MCP Error: Could not determine the appropriate tool for this request. Please be more specific about what you want to do.
47,ACT Marketing Cloud Expert Courses,Find ACT curricula tagged with 'Marketing Cloud' and 'Expert',False,Please specify a region or expertise area for SME search.,{},2.5,True,0.0,False,MCP Error: Please specify a region or expertise area for SME search.
48,Consensus Sales Cloud Last Quarter Demos,Show Consensus demo videos for Sales Cloud created in the last quarter,False,Could not determine the appropriate tool for this request. Please be more specific about what you want to do.,{},2.1,True,0.0,False,MCP Error: Could not determine the appropriate tool for this request. Please be more specific about what you want to do.
49,ACT Data Cloud High Enrollment,List ACT courses for Data Cloud with enrollment > 1200 students,False,Could not determine the appropriate tool for this request. Please be more specific about what you want to do.,{},3.1,True,0.0,False,MCP Error: Could not determine the appropriate tool for this request. Please be more specific about what you want to do.
50,ACT Service Cloud Q4 Assets,Find ACT assets for Service Cloud created between October and December,False,Could not determine the appropriate tool for this request. Please be more specific about what you want to do.,{},2.3,True,0.0,False,MCP Error: Could not determine the appropriate tool for this request. Please be more specific about what you want to do.
51,Consensus Marketing Cloud Preview Tracked Demos,Show Consensus demos for Marketing Cloud with public preview and tracking,False,Could not determine the appropriate tool for this request. Please be more specific about what you want to do.,{},2.4,True,0.0,False,MCP Error: Could not determine the appropriate tool for this request. Please be more specific about what you want to do.
52,ACT Sales Cloud Good Performance,List ACT courses for Sales Cloud with completion rate > 65% and enrollment > 400,False,Could not determine the appropriate tool for this request. Please be more specific about what you want to do.,{},2.5,True,0.0,False,MCP Error: Could not determine the appropriate tool for this request. Please be more specific about what you want to do.
53,ACT Data Cloud Excellent Completion Range,Find ACT curricula for Data Cloud with completion rate between 80% and 100%,False,Could not determine the appropriate tool for this request. Please be more specific about what you want to do.,{},2.4,True,0.0,False,MCP Error: Could not determine the appropriate tool for this request. Please be more specific about what you want to do.
54,Consensus Service Cloud Public Preview Demos,Show Consensus demo videos for Service Cloud with public access and preview links,False,Could not determine the appropriate tool for this request. Please be more specific about what you want to do.,{},2.7,True,0.0,False,MCP Error: Could not determine the appropriate tool for this request. Please be more specific about what you want to do.
55,ACT Marketing Cloud Medium-High Enrollment,List ACT courses for Marketing Cloud with enrollment between 500 and 1000,False,Could not determine the appropriate tool for this request. Please be more specific about what you want to do.,{},4.8,True,0.0,False,MCP Error: Could not determine the appropriate tool for this request. Please be more specific about what you want to do.
56,ACT Data Cloud Advanced 2024 Assets,Find ACT assets tagged with 'Data Cloud' and 'Advanced' created this year,False,Could not determine the appropriate tool for this request. Please be more specific about what you want to do.,{},1.9,True,0.0,False,MCP Error: Could not determine the appropriate tool for this request. Please be more specific about what you want to do.
57,Consensus Data Cloud Tracked Preview Demos,Show Consensus demos for Data Cloud with completion tracking and public preview,False,Could not determine the appropriate tool for this request. Please be more specific about what you want to do.,{},4.1,True,0.0,False,MCP Error: Could not determine the appropriate tool for this request. Please be more specific about what you want to do.
