Case ID,Description,Utterance,MCP Success,MCP Tool,MCP Args,MCP Time (ms),Apex Success,Apex Time (ms),Overall Success,Error Message
11,AMER-ACC Data Cloud Upsell,Generate future pipeline for Data Cloud upsell in AMER-ACC,False,Operating Unit (ouName) is required for pipeline generation. Please specify an OU like 'AMER ACC' or 'EMEA ENTR'.,{},2.2,True,0.0,False,MCP Error: Operating Unit (ouName) is required for pipeline generation. Please specify an OU like 'AMER ACC' or 'EMEA ENTR'.
12,UKI Marketing Cloud Renewal,Show me renewal opportunities for Marketing Cloud in UKI region,True,future_pipeline,"{""opportunityType"": ""renewal"", ""ouName"": ""UKI"", ""product"": ""Marketing Cloud"", ""timeFrame"": ""CURRENT""}",2.1,True,0.0,True,
13,EMEA ENTR Service Cloud Enterprise Cross-sell,Find cross-sell opportunities for Service Cloud in EMEA ENTR enterprise segment,True,future_pipeline,"{""opportunityType"": ""cross-sell"", ""ouName"": ""EMEA ENTR"", ""product"": ""Service Cloud"", ""segment"": ""enterprise"", ""timeFrame"": ""CURRENT""}",1.9,True,0.0,True,
14,LATAM Sales Cloud Upsell,Generate pipeline for Sales Cloud upsell in LATAM region,True,future_pipeline,"{""opportunityType"": ""upsell"", ""ouName"": ""LATAM"", ""product"": ""Sales Cloud"", ""timeFrame"": ""CURRENT""}",2.8,True,0.0,True,
15,AMER-ACC Data Cloud Enterprise Renewal,Show renewal opportunities for Data Cloud in AMER-ACC enterprise segment,False,Operating Unit (ouName) is required for pipeline generation. Please specify an OU like 'AMER ACC' or 'EMEA ENTR'.,{},4.3,True,0.0,False,MCP Error: Operating Unit (ouName) is required for pipeline generation. Please specify an OU like 'AMER ACC' or 'EMEA ENTR'.
16,UKI Marketing Cloud Upsell,Find upsell opportunities for Marketing Cloud in UKI region,True,future_pipeline,"{""opportunityType"": ""upsell"", ""ouName"": ""UKI"", ""product"": ""Marketing Cloud"", ""timeFrame"": ""CURRENT""}",1.9,True,0.0,True,
17,LATAM Service Cloud Cross-sell,Generate future pipeline for Service Cloud cross-sell in LATAM,True,future_pipeline,"{""opportunityType"": ""cross-sell"", ""ouName"": ""LATAM"", ""product"": ""Service Cloud"", ""timeFrame"": ""CURRENT""}",2.4,True,0.0,True,
18,EMEA ENTR Sales Cloud Enterprise Renewal,Show me renewal opportunities for Sales Cloud in EMEA ENTR enterprise segment,True,future_pipeline,"{""opportunityType"": ""renewal"", ""ouName"": ""EMEA ENTR"", ""product"": ""Sales Cloud"", ""segment"": ""enterprise"", ""timeFrame"": ""CURRENT""}",2.9,True,0.0,True,
19,UKI Data Cloud Cross-sell,Find cross-sell opportunities for Data Cloud in UKI region,True,future_pipeline,"{""opportunityType"": ""cross-sell"", ""ouName"": ""UKI"", ""product"": ""Data Cloud"", ""timeFrame"": ""CURRENT""}",1.9,True,0.0,True,
20,AMER-ACC Marketing Cloud Enterprise Upsell,Generate pipeline for Marketing Cloud upsell in AMER-ACC enterprise segment,False,Operating Unit (ouName) is required for pipeline generation. Please specify an OU like 'AMER ACC' or 'EMEA ENTR'.,{},1.9,True,0.0,False,MCP Error: Operating Unit (ouName) is required for pipeline generation. Please specify an OU like 'AMER ACC' or 'EMEA ENTR'.
21,LATAM Service Cloud Renewal,Show renewal opportunities for Service Cloud in LATAM region,True,future_pipeline,"{""opportunityType"": ""renewal"", ""ouName"": ""LATAM"", ""product"": ""Service Cloud"", ""timeFrame"": ""CURRENT""}",3.4,True,0.0,True,
22,EMEA ENTR Sales Cloud Upsell,Find upsell opportunities for Sales Cloud in EMEA ENTR,True,future_pipeline,"{""opportunityType"": ""upsell"", ""ouName"": ""EMEA ENTR"", ""product"": ""Sales Cloud"", ""timeFrame"": ""CURRENT""}",2.1,True,0.0,True,
23,UKI Data Cloud Enterprise Cross-sell,Generate future pipeline for Data Cloud cross-sell in UKI enterprise segment,True,future_pipeline,"{""opportunityType"": ""cross-sell"", ""ouName"": ""UKI"", ""product"": ""Data Cloud"", ""segment"": ""enterprise"", ""timeFrame"": ""CURRENT""}",1.9,True,0.0,True,
24,AMER-ACC Marketing Cloud Renewal,Show me renewal opportunities for Marketing Cloud in AMER-ACC,False,Operating Unit (ouName) is required for pipeline generation. Please specify an OU like 'AMER ACC' or 'EMEA ENTR'.,{},2.4,True,0.0,False,MCP Error: Operating Unit (ouName) is required for pipeline generation. Please specify an OU like 'AMER ACC' or 'EMEA ENTR'.
25,LATAM Service Cloud Enterprise Cross-sell,Find cross-sell opportunities for Service Cloud in LATAM enterprise segment,True,future_pipeline,"{""opportunityType"": ""cross-sell"", ""ouName"": ""LATAM"", ""product"": ""Service Cloud"", ""segment"": ""enterprise"", ""timeFrame"": ""CURRENT""}",2.8,True,0.0,True,
26,UKI Sales Cloud Upsell,Generate pipeline for Sales Cloud upsell in UKI region,True,future_pipeline,"{""opportunityType"": ""upsell"", ""ouName"": ""UKI"", ""product"": ""Sales Cloud"", ""timeFrame"": ""CURRENT""}",2.1,True,0.0,True,
27,EMEA ENTR Data Cloud Enterprise Renewal,Show renewal opportunities for Data Cloud in EMEA ENTR enterprise segment,True,future_pipeline,"{""opportunityType"": ""renewal"", ""ouName"": ""EMEA ENTR"", ""product"": ""Data Cloud"", ""segment"": ""enterprise"", ""timeFrame"": ""CURRENT""}",2.2,True,0.0,True,
28,LATAM Marketing Cloud Upsell,Find upsell opportunities for Marketing Cloud in LATAM region,True,future_pipeline,"{""opportunityType"": ""upsell"", ""ouName"": ""LATAM"", ""product"": ""Marketing Cloud"", ""timeFrame"": ""CURRENT""}",3.9,True,0.0,True,
29,AMER-ACC Service Cloud Cross-sell,Generate future pipeline for Service Cloud cross-sell in AMER-ACC,False,Operating Unit (ouName) is required for pipeline generation. Please specify an OU like 'AMER ACC' or 'EMEA ENTR'.,{},1.9,True,0.0,False,MCP Error: Operating Unit (ouName) is required for pipeline generation. Please specify an OU like 'AMER ACC' or 'EMEA ENTR'.
30,UKI Sales Cloud Enterprise Renewal,Show me renewal opportunities for Sales Cloud in UKI enterprise segment,True,future_pipeline,"{""opportunityType"": ""renewal"", ""ouName"": ""UKI"", ""product"": ""Sales Cloud"", ""segment"": ""enterprise"", ""timeFrame"": ""CURRENT""}",1.7,True,0.0,True,
31,LATAM Data Cloud Cross-sell,Find cross-sell opportunities for Data Cloud in LATAM region,True,future_pipeline,"{""opportunityType"": ""cross-sell"", ""ouName"": ""LATAM"", ""product"": ""Data Cloud"", ""timeFrame"": ""CURRENT""}",2.0,True,0.0,True,
32,EMEA ENTR Marketing Cloud Enterprise Upsell,Generate pipeline for Marketing Cloud upsell in EMEA ENTR enterprise segment,True,future_pipeline,"{""opportunityType"": ""upsell"", ""ouName"": ""EMEA ENTR"", ""product"": ""Marketing Cloud"", ""segment"": ""enterprise"", ""timeFrame"": ""CURRENT""}",2.5,True,0.0,True,
33,AMER-ACC Service Cloud Renewal,Show renewal opportunities for Service Cloud in AMER-ACC,False,Operating Unit (ouName) is required for pipeline generation. Please specify an OU like 'AMER ACC' or 'EMEA ENTR'.,{},2.4,True,0.0,False,MCP Error: Operating Unit (ouName) is required for pipeline generation. Please specify an OU like 'AMER ACC' or 'EMEA ENTR'.
34,LATAM Sales Cloud Enterprise Upsell,Find upsell opportunities for Sales Cloud in LATAM enterprise segment,True,future_pipeline,"{""opportunityType"": ""upsell"", ""ouName"": ""LATAM"", ""product"": ""Sales Cloud"", ""segment"": ""enterprise"", ""timeFrame"": ""CURRENT""}",2.1,True,0.0,True,
35,EMEA ENTR Data Cloud Cross-sell,Generate future pipeline for Data Cloud cross-sell in EMEA ENTR,True,future_pipeline,"{""opportunityType"": ""cross-sell"", ""ouName"": ""EMEA ENTR"", ""product"": ""Data Cloud"", ""timeFrame"": ""CURRENT""}",5.9,True,0.0,True,
36,UKI Marketing Cloud Enterprise Renewal,Show me renewal opportunities for Marketing Cloud in UKI enterprise segment,True,future_pipeline,"{""opportunityType"": ""renewal"", ""ouName"": ""UKI"", ""product"": ""Marketing Cloud"", ""segment"": ""enterprise"", ""timeFrame"": ""CURRENT""}",2.1,True,0.0,True,
37,AMER-ACC Service Cloud Enterprise Cross-sell,Find cross-sell opportunities for Service Cloud in AMER-ACC enterprise segment,False,Operating Unit (ouName) is required for pipeline generation. Please specify an OU like 'AMER ACC' or 'EMEA ENTR'.,{},3.7,True,0.0,False,MCP Error: Operating Unit (ouName) is required for pipeline generation. Please specify an OU like 'AMER ACC' or 'EMEA ENTR'.
38,EMEA ENTR Sales Cloud Upsell,Generate pipeline for Sales Cloud upsell in EMEA ENTR,True,future_pipeline,"{""opportunityType"": ""upsell"", ""ouName"": ""EMEA ENTR"", ""product"": ""Sales Cloud"", ""timeFrame"": ""CURRENT""}",9.9,True,0.0,True,
39,LATAM Data Cloud Enterprise Renewal,Show renewal opportunities for Data Cloud in LATAM enterprise segment,True,future_pipeline,"{""opportunityType"": ""renewal"", ""ouName"": ""LATAM"", ""product"": ""Data Cloud"", ""segment"": ""enterprise"", ""timeFrame"": ""CURRENT""}",2.0,True,0.0,True,
40,AMER-ACC Marketing Cloud Enterprise Upsell,Find upsell opportunities for Marketing Cloud in AMER-ACC enterprise segment,False,Operating Unit (ouName) is required for pipeline generation. Please specify an OU like 'AMER ACC' or 'EMEA ENTR'.,{},1.9,True,0.0,False,MCP Error: Operating Unit (ouName) is required for pipeline generation. Please specify an OU like 'AMER ACC' or 'EMEA ENTR'.
41,UKI Service Cloud Cross-sell,Generate future pipeline for Service Cloud cross-sell in UKI region,True,future_pipeline,"{""opportunityType"": ""cross-sell"", ""ouName"": ""UKI"", ""product"": ""Service Cloud"", ""timeFrame"": ""CURRENT""}",2.5,True,0.0,True,
42,LATAM Sales Cloud Enterprise Renewal,Show me renewal opportunities for Sales Cloud in LATAM enterprise segment,True,future_pipeline,"{""opportunityType"": ""renewal"", ""ouName"": ""LATAM"", ""product"": ""Sales Cloud"", ""segment"": ""enterprise"", ""timeFrame"": ""CURRENT""}",2.5,True,0.0,True,
43,AMER-ACC Data Cloud Enterprise Cross-sell,Find cross-sell opportunities for Data Cloud in AMER-ACC enterprise segment,False,Operating Unit (ouName) is required for pipeline generation. Please specify an OU like 'AMER ACC' or 'EMEA ENTR'.,{},2.0,True,0.0,False,MCP Error: Operating Unit (ouName) is required for pipeline generation. Please specify an OU like 'AMER ACC' or 'EMEA ENTR'.
44,UKI Marketing Cloud Upsell,Generate pipeline for Marketing Cloud upsell in UKI region,True,future_pipeline,"{""opportunityType"": ""upsell"", ""ouName"": ""UKI"", ""product"": ""Marketing Cloud"", ""timeFrame"": ""CURRENT""}",3.1,True,0.0,True,
45,EMEA ENTR Service Cloud Enterprise Renewal,Show renewal opportunities for Service Cloud in EMEA ENTR enterprise segment,True,future_pipeline,"{""opportunityType"": ""renewal"", ""ouName"": ""EMEA ENTR"", ""product"": ""Service Cloud"", ""segment"": ""enterprise"", ""timeFrame"": ""CURRENT""}",2.3,True,0.0,True,
46,AMER-ACC Sales Cloud Enterprise Upsell,Find upsell opportunities for Sales Cloud in AMER-ACC enterprise segment,False,Operating Unit (ouName) is required for pipeline generation. Please specify an OU like 'AMER ACC' or 'EMEA ENTR'.,{},2.0,True,0.0,False,MCP Error: Operating Unit (ouName) is required for pipeline generation. Please specify an OU like 'AMER ACC' or 'EMEA ENTR'.
47,LATAM Data Cloud Cross-sell,Generate future pipeline for Data Cloud cross-sell in LATAM region,True,future_pipeline,"{""opportunityType"": ""cross-sell"", ""ouName"": ""LATAM"", ""product"": ""Data Cloud"", ""timeFrame"": ""CURRENT""}",2.2,True,0.0,True,
48,EMEA ENTR Marketing Cloud Enterprise Renewal,Show me renewal opportunities for Marketing Cloud in EMEA ENTR enterprise segment,True,future_pipeline,"{""opportunityType"": ""renewal"", ""ouName"": ""EMEA ENTR"", ""product"": ""Marketing Cloud"", ""segment"": ""enterprise"", ""timeFrame"": ""CURRENT""}",2.4,True,0.0,True,
49,UKI Service Cloud Enterprise Cross-sell,Find cross-sell opportunities for Service Cloud in UKI enterprise segment,True,future_pipeline,"{""opportunityType"": ""cross-sell"", ""ouName"": ""UKI"", ""product"": ""Service Cloud"", ""segment"": ""enterprise"", ""timeFrame"": ""CURRENT""}",2.3,True,0.0,True,
50,LATAM Sales Cloud Enterprise Upsell,Generate pipeline for Sales Cloud upsell in LATAM enterprise segment,True,future_pipeline,"{""opportunityType"": ""upsell"", ""ouName"": ""LATAM"", ""product"": ""Sales Cloud"", ""segment"": ""enterprise"", ""timeFrame"": ""CURRENT""}",1.8,True,0.0,True,
51,UKI Data Cloud Enterprise Renewal,Show renewal opportunities for Data Cloud in UKI enterprise segment,True,future_pipeline,"{""opportunityType"": ""renewal"", ""ouName"": ""UKI"", ""product"": ""Data Cloud"", ""segment"": ""enterprise"", ""timeFrame"": ""CURRENT""}",2.4,True,0.0,True,
52,EMEA ENTR Marketing Cloud Enterprise Upsell,Find upsell opportunities for Marketing Cloud in EMEA ENTR enterprise segment,True,future_pipeline,"{""opportunityType"": ""upsell"", ""ouName"": ""EMEA ENTR"", ""product"": ""Marketing Cloud"", ""segment"": ""enterprise"", ""timeFrame"": ""CURRENT""}",2.9,True,0.0,True,
53,AMER-ACC Service Cloud Enterprise Cross-sell,Generate future pipeline for Service Cloud cross-sell in AMER-ACC enterprise segment,False,Operating Unit (ouName) is required for pipeline generation. Please specify an OU like 'AMER ACC' or 'EMEA ENTR'.,{},1.8,True,0.0,False,MCP Error: Operating Unit (ouName) is required for pipeline generation. Please specify an OU like 'AMER ACC' or 'EMEA ENTR'.
54,UKI Sales Cloud Enterprise Renewal,Show me renewal opportunities for Sales Cloud in UKI enterprise segment,True,future_pipeline,"{""opportunityType"": ""renewal"", ""ouName"": ""UKI"", ""product"": ""Sales Cloud"", ""segment"": ""enterprise"", ""timeFrame"": ""CURRENT""}",1.9,True,0.0,True,
55,EMEA ENTR Data Cloud Enterprise Cross-sell,Find cross-sell opportunities for Data Cloud in EMEA ENTR enterprise segment,True,future_pipeline,"{""opportunityType"": ""cross-sell"", ""ouName"": ""EMEA ENTR"", ""product"": ""Data Cloud"", ""segment"": ""enterprise"", ""timeFrame"": ""CURRENT""}",2.1,True,0.0,True,
56,LATAM Marketing Cloud Enterprise Upsell,Generate pipeline for Marketing Cloud upsell in LATAM enterprise segment,True,future_pipeline,"{""opportunityType"": ""upsell"", ""ouName"": ""LATAM"", ""product"": ""Marketing Cloud"", ""segment"": ""enterprise"", ""timeFrame"": ""CURRENT""}",2.1,True,0.0,True,
