Case ID,Description,Utterance,MCP Success,MCP Tool,MCP Args,MCP Time (ms),Apex Success,Apex Time (ms),Overall Success,Error Message
16,ACT Data Cloud Q2 Courses,List ACT courses for Data Cloud created between April and June,True,content_search,"{""source"": ""ACT"", ""topic"": ""Data Cloud""}",4.3,True,0.0,True,
17,ACT Courses Medium-High Completion,Find ACT curricula with completion rate between 70% and 90%,False,"Please specify a topic to search for (e.g., 'Data Cloud', 'Sales Cloud').",{},2.6,True,0.0,False,"MCP Error: Please specify a topic to search for (e.g., 'Data Cloud', 'Sales Cloud')."
18,Consensus Marketing Cloud Preview Demos,Show Consensus demo videos for Marketing Cloud with preview links,False,"Please specify a topic to search for (e.g., 'Data Cloud', 'Sales Cloud').",{},2.3,True,0.0,False,"MCP Error: Please specify a topic to search for (e.g., 'Data Cloud', 'Sales Cloud')."
19,ACT Sales Cloud Medium Enrollment,List ACT courses for Sales Cloud with enrollment > 500 students,True,content_search,"{""source"": ""ACT"", ""topic"": ""Sales Cloud""}",4.0,True,0.0,True,
20,ACT Data Cloud Recent Assets,Find ACT assets created in the last quarter with 'Data Cloud' tag,True,content_search,"{""source"": ""ACT"", ""topic"": ""Data Cloud""}",3.8,True,0.0,True,
21,Consensus Data Cloud 2024 Demos,Show Consensus demos for Data Cloud created this year,True,content_search,"{""source"": ""ACT"", ""topic"": ""Data Cloud""}",2.2,True,0.0,True,
22,ACT Service Cloud Very High Completion,List ACT courses for Service Cloud with completion rate > 85%,True,content_search,"{""source"": ""ACT"", ""topic"": ""Service Cloud""}",3.3,True,0.0,True,
23,ACT Marketing Cloud Advanced Courses,Find ACT curricula tagged with 'Marketing Cloud' and 'Advanced',False,"Please specify a topic to search for (e.g., 'Data Cloud', 'Sales Cloud').",{},3.3,True,0.0,False,"MCP Error: Please specify a topic to search for (e.g., 'Data Cloud', 'Sales Cloud')."
24,Consensus Sales Cloud Preview Demos,Show Consensus demo videos for Sales Cloud with public preview,True,content_search,"{""source"": ""ACT"", ""topic"": ""Sales Cloud""}",2.6,True,0.0,True,
25,ACT Data Cloud Medium Enrollment,List ACT courses for Data Cloud with enrollment between 200 and 800,True,content_search,"{""source"": ""ACT"", ""topic"": ""Data Cloud""}",2.7,True,0.0,True,
26,ACT Service Cloud Recent Assets,Find ACT assets for Service Cloud created in the last 3 months,True,content_search,"{""source"": ""ACT"", ""topic"": ""Service Cloud""}",2.2,True,0.0,True,
27,Consensus Marketing Cloud Tracked Demos,Show Consensus demos for Marketing Cloud with completion tracking,False,"Please specify a topic to search for (e.g., 'Data Cloud', 'Sales Cloud').",{},2.2,True,0.0,False,"MCP Error: Please specify a topic to search for (e.g., 'Data Cloud', 'Sales Cloud')."
28,ACT Sales Cloud Excellent Completion,List ACT courses for Sales Cloud with completion rate > 90%,True,content_search,"{""source"": ""ACT"", ""topic"": ""Sales Cloud""}",2.3,True,0.0,True,
29,ACT Data Cloud Very High Enrollment,Find ACT curricula for Data Cloud with enrollment > 1500 students,True,content_search,"{""source"": ""ACT"", ""topic"": ""Data Cloud""}",2.4,True,0.0,True,
30,Consensus Service Cloud Q3 Demos,Show Consensus demo videos for Service Cloud created in Q3,True,content_search,"{""source"": ""ACT"", ""topic"": ""Service Cloud""}",2.0,True,0.0,True,
31,ACT Sales Cloud Beginner Courses,List ACT courses tagged with 'Sales Cloud' and 'Beginner',True,content_search,"{""source"": ""ACT"", ""topic"": ""Sales Cloud""}",2.6,True,0.0,True,
32,ACT Marketing Cloud Good Completion,Find ACT assets for Marketing Cloud with completion rate > 70%,False,"Please specify a topic to search for (e.g., 'Data Cloud', 'Sales Cloud').",{},2.5,True,0.0,False,"MCP Error: Please specify a topic to search for (e.g., 'Data Cloud', 'Sales Cloud')."
33,Consensus Data Cloud Public Preview Demos,Show Consensus demos for Data Cloud with public access and preview,True,content_search,"{""source"": ""ACT"", ""topic"": ""Data Cloud""}",2.3,True,0.0,True,
34,ACT Service Cloud High Enrollment,List ACT courses for Service Cloud with enrollment > 1000 students,True,content_search,"{""source"": ""ACT"", ""topic"": ""Service Cloud""}",2.6,True,0.0,True,
35,ACT Marketing Cloud Q3 Courses,Find ACT curricula for Marketing Cloud created between July and September,False,"Please specify a topic to search for (e.g., 'Data Cloud', 'Sales Cloud').",{},3.0,True,0.0,False,"MCP Error: Please specify a topic to search for (e.g., 'Data Cloud', 'Sales Cloud')."
36,Consensus Sales Cloud Tracked Demos,Show Consensus demo videos for Sales Cloud with tracking enabled,True,content_search,"{""source"": ""ACT"", ""topic"": ""Sales Cloud""}",2.2,True,0.0,True,
37,ACT Data Cloud Good Completion Range,List ACT courses for Data Cloud with completion rate between 60% and 80%,True,content_search,"{""source"": ""ACT"", ""topic"": ""Data Cloud""}",4.5,True,0.0,True,
38,ACT Service Cloud Intermediate Assets,Find ACT assets tagged with 'Service Cloud' and 'Intermediate',True,content_search,"{""source"": ""ACT"", ""topic"": ""Service Cloud""}",2.6,True,0.0,True,
39,Consensus Marketing Cloud Preview Link Demos,Show Consensus demos for Marketing Cloud with public preview links,False,"Please specify a topic to search for (e.g., 'Data Cloud', 'Sales Cloud').",{},2.3,True,0.0,False,"MCP Error: Please specify a topic to search for (e.g., 'Data Cloud', 'Sales Cloud')."
40,ACT Sales Cloud Medium Enrollment Range,List ACT courses for Sales Cloud with enrollment between 300 and 700,True,content_search,"{""source"": ""ACT"", ""topic"": ""Sales Cloud""}",2.2,True,0.0,True,
41,ACT Data Cloud Recent 4 Months,Find ACT curricula for Data Cloud created in the last 4 months,True,content_search,"{""source"": ""ACT"", ""topic"": ""Data Cloud""}",2.8,True,0.0,True,
42,Consensus Service Cloud Completion Tracked Demos,Show Consensus demo videos for Service Cloud with completion tracking,True,content_search,"{""source"": ""ACT"", ""topic"": ""Service Cloud""}",4.3,True,0.0,True,
43,ACT Marketing Cloud Excellent Completion,List ACT courses for Marketing Cloud with completion rate > 95%,False,"Please specify a topic to search for (e.g., 'Data Cloud', 'Sales Cloud').",{},4.2,True,0.0,False,"MCP Error: Please specify a topic to search for (e.g., 'Data Cloud', 'Sales Cloud')."
44,ACT Sales Cloud Very High Enrollment,Find ACT assets for Sales Cloud with enrollment > 2000 students,True,content_search,"{""source"": ""ACT"", ""topic"": ""Sales Cloud""}",2.7,True,0.0,True,
45,Consensus Data Cloud Public Tracked Demos,Show Consensus demos for Data Cloud with public access and tracking,True,content_search,"{""source"": ""ACT"", ""topic"": ""Data Cloud""}",2.8,True,0.0,True,
46,ACT Service Cloud High Completion Range,List ACT courses for Service Cloud with completion rate between 75% and 95%,True,content_search,"{""source"": ""ACT"", ""topic"": ""Service Cloud""}",2.4,True,0.0,True,
47,ACT Marketing Cloud Expert Courses,Find ACT curricula tagged with 'Marketing Cloud' and 'Expert',False,"Please specify a topic to search for (e.g., 'Data Cloud', 'Sales Cloud').",{},3.4,True,0.0,False,"MCP Error: Please specify a topic to search for (e.g., 'Data Cloud', 'Sales Cloud')."
48,Consensus Sales Cloud Last Quarter Demos,Show Consensus demo videos for Sales Cloud created in the last quarter,True,content_search,"{""source"": ""ACT"", ""topic"": ""Sales Cloud""}",4.0,True,0.0,True,
49,ACT Data Cloud High Enrollment,List ACT courses for Data Cloud with enrollment > 1200 students,True,content_search,"{""source"": ""ACT"", ""topic"": ""Data Cloud""}",2.6,True,0.0,True,
50,ACT Service Cloud Q4 Assets,Find ACT assets for Service Cloud created between October and December,True,content_search,"{""source"": ""ACT"", ""topic"": ""Service Cloud""}",3.7,True,0.0,True,
51,Consensus Marketing Cloud Preview Tracked Demos,Show Consensus demos for Marketing Cloud with public preview and tracking,False,"Please specify a topic to search for (e.g., 'Data Cloud', 'Sales Cloud').",{},2.4,True,0.0,False,"MCP Error: Please specify a topic to search for (e.g., 'Data Cloud', 'Sales Cloud')."
52,ACT Sales Cloud Good Performance,List ACT courses for Sales Cloud with completion rate > 65% and enrollment > 400,True,content_search,"{""source"": ""ACT"", ""topic"": ""Sales Cloud""}",2.0,True,0.0,True,
53,ACT Data Cloud Excellent Completion Range,Find ACT curricula for Data Cloud with completion rate between 80% and 100%,True,content_search,"{""source"": ""ACT"", ""topic"": ""Data Cloud""}",2.1,True,0.0,True,
54,Consensus Service Cloud Public Preview Demos,Show Consensus demo videos for Service Cloud with public access and preview links,True,content_search,"{""source"": ""ACT"", ""topic"": ""Service Cloud""}",2.9,True,0.0,True,
55,ACT Marketing Cloud Medium-High Enrollment,List ACT courses for Marketing Cloud with enrollment between 500 and 1000,False,"Please specify a topic to search for (e.g., 'Data Cloud', 'Sales Cloud').",{},2.7,True,0.0,False,"MCP Error: Please specify a topic to search for (e.g., 'Data Cloud', 'Sales Cloud')."
56,ACT Data Cloud Advanced 2024 Assets,Find ACT assets tagged with 'Data Cloud' and 'Advanced' created this year,True,content_search,"{""source"": ""ACT"", ""topic"": ""Data Cloud""}",2.7,True,0.0,True,
57,Consensus Data Cloud Tracked Preview Demos,Show Consensus demos for Data Cloud with completion tracking and public preview,True,content_search,"{""source"": ""ACT"", ""topic"": ""Data Cloud""}",2.7,True,0.0,True,
