utterance,expected_tool,expected_keys,description
"Show me renewal opportunities for Sales Cloud in EMEA ENTR enterprise segment",future_pipeline,"ouName,product,opportunityType,segment","EMEA ENTR Sales Cloud Enterprise Renewal"
"Find cross-sell opportunities for Data Cloud in UKI region",future_pipeline,"product,region,opportunityType","UKI Data Cloud Cross-sell"
"Generate pipeline for Marketing Cloud upsell in AMER-ACC enterprise segment",future_pipeline,"ouName,product,opportunityType,segment","AMER-ACC Marketing Cloud Enterprise Upsell"
"Show renewal opportunities for Service Cloud in LATAM region",future_pipeline,"product,region,opportunityType","LATAM Service Cloud Renewal"
"Find upsell opportunities for Sales Cloud in EMEA ENTR",future_pipeline,"ouName,product,opportunityType","EMEA ENTR Sales Cloud Upsell"
"Generate future pipeline for Data Cloud cross-sell in UKI enterprise segment",future_pipeline,"product,region,opportunityType,segment","UKI Data Cloud Enterprise Cross-sell"
"Show me renewal opportunities for Marketing Cloud in AMER-ACC",future_pipeline,"ouName,product,opportunityType","AMER-ACC Marketing Cloud Renewal"
"Find cross-sell opportunities for Service Cloud in LATAM enterprise segment",future_pipeline,"product,region,opportunityType,segment","LATAM Service Cloud Enterprise Cross-sell"
"Generate pipeline for Sales Cloud upsell in UKI region",future_pipeline,"product,region,opportunityType","UKI Sales Cloud Upsell"
"Show renewal opportunities for Data Cloud in EMEA ENTR enterprise segment",future_pipeline,"ouName,product,opportunityType,segment","EMEA ENTR Data Cloud Enterprise Renewal"
"Find upsell opportunities for Marketing Cloud in LATAM region",future_pipeline,"product,region,opportunityType","LATAM Marketing Cloud Upsell"
"Generate future pipeline for Service Cloud cross-sell in AMER-ACC",future_pipeline,"ouName,product,opportunityType","AMER-ACC Service Cloud Cross-sell"
"Show me renewal opportunities for Sales Cloud in UKI enterprise segment",future_pipeline,"product,region,opportunityType,segment","UKI Sales Cloud Enterprise Renewal"
"Find cross-sell opportunities for Data Cloud in LATAM region",future_pipeline,"product,region,opportunityType","LATAM Data Cloud Cross-sell"
"Generate pipeline for Marketing Cloud upsell in EMEA ENTR enterprise segment",future_pipeline,"ouName,product,opportunityType,segment","EMEA ENTR Marketing Cloud Enterprise Upsell"
"Show renewal opportunities for Service Cloud in AMER-ACC",future_pipeline,"ouName,product,opportunityType","AMER-ACC Service Cloud Renewal"
"Find upsell opportunities for Sales Cloud in LATAM enterprise segment",future_pipeline,"product,region,opportunityType,segment","LATAM Sales Cloud Enterprise Upsell"
"Generate future pipeline for Data Cloud cross-sell in EMEA ENTR",future_pipeline,"ouName,product,opportunityType","EMEA ENTR Data Cloud Cross-sell"
"Show me renewal opportunities for Marketing Cloud in UKI enterprise segment",future_pipeline,"product,region,opportunityType,segment","UKI Marketing Cloud Enterprise Renewal"
"Find cross-sell opportunities for Service Cloud in AMER-ACC enterprise segment",future_pipeline,"ouName,product,opportunityType,segment","AMER-ACC Service Cloud Enterprise Cross-sell"
"Generate pipeline for Sales Cloud upsell in EMEA ENTR",future_pipeline,"ouName,product,opportunityType","EMEA ENTR Sales Cloud Upsell"
"Show renewal opportunities for Data Cloud in LATAM enterprise segment",future_pipeline,"product,region,opportunityType,segment","LATAM Data Cloud Enterprise Renewal"
"Find upsell opportunities for Marketing Cloud in AMER-ACC enterprise segment",future_pipeline,"ouName,product,opportunityType,segment","AMER-ACC Marketing Cloud Enterprise Upsell"
"Generate future pipeline for Service Cloud cross-sell in UKI region",future_pipeline,"product,region,opportunityType","UKI Service Cloud Cross-sell"
"Show me renewal opportunities for Sales Cloud in LATAM enterprise segment",future_pipeline,"product,region,opportunityType,segment","LATAM Sales Cloud Enterprise Renewal"
"Find cross-sell opportunities for Data Cloud in AMER-ACC enterprise segment",future_pipeline,"ouName,product,opportunityType,segment","AMER-ACC Data Cloud Enterprise Cross-sell"
"Generate pipeline for Marketing Cloud upsell in UKI region",future_pipeline,"product,region,opportunityType","UKI Marketing Cloud Upsell"
"Show renewal opportunities for Service Cloud in EMEA ENTR enterprise segment",future_pipeline,"ouName,product,opportunityType,segment","EMEA ENTR Service Cloud Enterprise Renewal"
"Find upsell opportunities for Sales Cloud in AMER-ACC enterprise segment",future_pipeline,"ouName,product,opportunityType,segment","AMER-ACC Sales Cloud Enterprise Upsell"
"Generate future pipeline for Data Cloud cross-sell in LATAM region",future_pipeline,"product,region,opportunityType","LATAM Data Cloud Cross-sell"
"Show me renewal opportunities for Marketing Cloud in EMEA ENTR enterprise segment",future_pipeline,"ouName,product,opportunityType,segment","EMEA ENTR Marketing Cloud Enterprise Renewal"
"Find cross-sell opportunities for Service Cloud in UKI enterprise segment",future_pipeline,"product,region,opportunityType,segment","UKI Service Cloud Enterprise Cross-sell"
"Generate pipeline for Sales Cloud upsell in LATAM enterprise segment",future_pipeline,"product,region,opportunityType,segment","LATAM Sales Cloud Enterprise Upsell"
"Show renewal opportunities for Data Cloud in UKI enterprise segment",future_pipeline,"product,region,opportunityType,segment","UKI Data Cloud Enterprise Renewal"
"Find upsell opportunities for Marketing Cloud in EMEA ENTR enterprise segment",future_pipeline,"ouName,product,opportunityType,segment","EMEA ENTR Marketing Cloud Enterprise Upsell"
"Generate future pipeline for Service Cloud cross-sell in AMER-ACC enterprise segment",future_pipeline,"ouName,product,opportunityType,segment","AMER-ACC Service Cloud Enterprise Cross-sell"
"Show me renewal opportunities for Sales Cloud in UKI enterprise segment",future_pipeline,"product,region,opportunityType,segment","UKI Sales Cloud Enterprise Renewal"
"Find cross-sell opportunities for Data Cloud in EMEA ENTR enterprise segment",future_pipeline,"ouName,product,opportunityType,segment","EMEA ENTR Data Cloud Enterprise Cross-sell"
"Generate pipeline for Marketing Cloud upsell in LATAM enterprise segment",future_pipeline,"product,region,opportunityType,segment","LATAM Marketing Cloud Enterprise Upsell"
